ccode,cname,year,hogname,hogideo,hogrel
32,Argentina,1870,Domingo Faustino Sarmiento,C,0
32,Argentina,1871,Domingo Faustino Sarmiento,C,0
32,Argentina,1872,Domingo Faustino Sarmiento,C,0
32,Argentina,1873,Domingo Faustino Sarmiento,C,0
32,Argentina,1874,Domingo Faustino Sarmiento,C,0
32,Argentina,1875,Nicolás Avellaneda,R,0
32,Argentina,1876,Nicolás Avellaneda,R,0
32,Argentina,1877,Nicolás Avellaneda,R,0
32,Argentina,1878,Nicolás Avellaneda,R,0
32,Argentina,1879,Nicolás Avellaneda,R,0
32,Argentina,1880,Nicolás Avellaneda,R,0
32,Argentina,1881,Julio A. Roca,R,0
32,Argentina,1882,Julio A. Roca,R,0
32,Argentina,1883,Julio A. Roca,R,0
32,Argentina,1884,Julio A. Roca,R,0
32,Argentina,1885,Julio A. Roca,R,0
32,Argentina,1886,Julio A. Roca,R,0
32,Argentina,1887,Miguel Juárez Celman,R,0
32,Argentina,1888,Miguel Juárez Celman,R,0
32,Argentina,1889,Miguel Juárez Celman,R,0
32,Argentina,1890,Miguel Juárez Celman,R,0
32,Argentina,1891,Carlos Pellegrini,R,0
32,Argentina,1892,Carlos Pellegrini,R,0
32,Argentina,1893,Luis Sáenz Peña,R,0
32,Argentina,1894,Luis Sáenz Peña,R,0
32,Argentina,1895,José Evaristo Uriburu,R,0
32,Argentina,1896,José Evaristo Uriburu,R,0
32,Argentina,1897,José Evaristo Uriburu,R,0
32,Argentina,1898,Julio A. Roca,R,0
32,Argentina,1899,Julio A. Roca,R,0
32,Argentina,1900,Julio A. Roca,R,0
32,Argentina,1901,Julio A. Roca,R,0
32,Argentina,1902,Julio A. Roca,R,0
32,Argentina,1903,Julio A. Roca,R,0
32,Argentina,1904,Julio A. Roca,R,0
32,Argentina,1905,Manuel Quintana,R,0
32,Argentina,1906,José Figueroa Alcorta,R,0
32,Argentina,1907,José Figueroa Alcorta,R,0
32,Argentina,1908,José Figueroa Alcorta,R,0
32,Argentina,1909,José Figueroa Alcorta,R,0
32,Argentina,1910,José Figueroa Alcorta,R,0
32,Argentina,1911,Roque Sáenz Peña,R,0
32,Argentina,1912,Roque Sáenz Peña,R,0
32,Argentina,1913,Roque Sáenz Peña,R,0
32,Argentina,1914,Victorino de la Plaza,R,0
32,Argentina,1915,Victorino de la Plaza,R,0
32,Argentina,1916,Victorino de la Plaza,R,0
32,Argentina,1917,Hipólito Irigoyen,C,0
32,Argentina,1918,Hipólito Irigoyen,C,0
32,Argentina,1919,Hipólito Irigoyen,C,0
32,Argentina,1920,Hipólito Irigoyen,C,0
32,Argentina,1921,Hipólito Irigoyen,C,0
32,Argentina,1922,Hipólito Irigoyen,C,0
32,Argentina,1923,Marcelo T. De Alvear,C,0
32,Argentina,1924,Marcelo T. De Alvear,C,0
32,Argentina,1925,Marcelo T. De Alvear,C,0
32,Argentina,1926,Marcelo T. De Alvear,C,0
